Code,Title,Description,Diagnosis,"T Code","M Code","P Code",Classification,"Cancer Register",RCPath
"10001A-Clinical Details",,"Clinical details ",,,,,,,
10001B-Macro,,"MACROSCOPIC DESCRIPTION",,,,,,,
10001C-Micro,,"MICROSCOPIC DESCRIPTION",,,,,,,
10001D-Supplementary,,"Supplementary report ",,,,,,,
"10002A-Specials request",,"Special stains have been requested and a supplementary report will follow. ",,,,,,,
"10002B-Levels request",,"Further levels have been requested and a supplementary report will follow. ",,,,,,,
"10002C-Immuno request",,"Immunohistochemistry has been requested and a supplementary report will follow. ",,,,,,,
"10002D-Cell block",,"A cell block will be prepared and the results issued in a supplementary report.",,,,,,,
"10003A-Multiple levels x6",,"Multiple levels have been cut and examined (6 levels). ",,,,,,,
"10003B-Multiple levels x9",,"Multiple levels have been cut and examined (9 levels). ",,,,,,,
"10003C-Multiple levels x12",,"Multiple levels have been cut and examined (12 levels). ",,,,,,,
"10003D-Fungi negative",,"Special stains for fungal hyphae are negative.",,,,,,,
"10003E-Specials negative",,"Special stains for fungal hyphae, mycobacterium and bacterial colonies are negative; a negative result does not exclude infection. ",,,,,,,
"10005A-IMF result",,"Direct immunofluorescence is negative for IgA, IgM, IgG, Fibrinogen and C3.? ",,,,,,,
"10005B-CPC Correlation ",,"Clinico-pathological correlation is advised. ",,,,,,,
"10005C-CPC, IMF Correlation ",,"Clinico-pathological correlation and correlation with direct immunofluorescence is advised. ",,,,,,,
"10005D-CPC Case",,"This would be a good case to discuss at the next clinicopathological meeting. ",,,,,,,
"10005E-MDT Case",,"This case should be listed for the Local Skin MDT.  ",,,,,,,
"10006A-Not for MDT",,"This case is NOT required for the Local Skin MDT.  ",,,,,,,
"10006B-No dysplasia/ malignanc",,"There is no evidence of dysplasia or malignancy. ",,,09450noevidenceofmalignancy,,,,
"10006C-Superficial biopsy",,"The biopsy is too superficial for histological assessment. A deeper biopsy is required for full assessment. ",,t01000,,,,,
"72750A-Seborrhoeic keratosis-p",,"Skin with part of a pigmented seborrhoeic keratosis. There is no evidence of dysplasia or malignancy.","Skin: Excision - Seborrhoeic keratosis","y4100abdomen,12750ankle",09030artefactnos,2044specimenfrozen,benign,,10
"72750B-Seborrhoeic keratosis-p",,"Skin with part of a seborrhoeic keratosis. There is no evidence of dysplasia or malignancy.","Skin: Excision - Seborrhoeic keratosis",t01000,72750,,benign,No,
"72750C-Seborrhoeic keratosis-p",,"Skin with a completely excised, pigmented seborrhoeic keratosis. There is no evidence of dysplasia or malignancy. ","Skin: Excision - Seborrhoeic keratosis",t01000,72750,,,No,
"72750D -Seborrhoeic keratosis-",,"Skin with a completely excised seborrhoeic keratosis. There is no evidence of dysplasia or malignancy. ","Skin: Excision - Seborrhoeic keratosis",t01000,72750,,,No,
"72750F- Seborrhoeic keratosis-",,"The specimen consists mainly of laminated keratin with small amounts of papillomatous superficial epidermis. Although the biopsy is deemed superficial the features are in keeping with a hyperkeratotic seborrhoeic keratosis. No dysplasia is seen. The biopsy is too superficial to assess for invasion. ","Skin: Excision - Seborrhoeic keratosis",t01000,72750,p1100,,,
"72750G-Inverted follciluar ker",,"Skin with a hyperkeratotitc endophytic squamous lesion with squamous eddies and no evidence of dysplasia. The lesion has a rounded deep margin. No malignancy is seen. The features are those of an Inverted Follicular keratosis, which is a variant of Seborrhoeic keratosis. The lesion is completely excised. ","Skin: Excision - Seborrhoeic keratosis",t01000,72750,p1100,,,
"72750H-Seborrhoeic keratosis-I",,"Skin with papillomatosis, hyperkeratosis, acanthosis and parakeratosis. There is dermal inflammation and reactive atypia but no definite dysplasia or malignancy.? The features are those of an irritated seborrhoeic keratosis. The lesion is incompletely excised. ","Skin: Excision - Seborrhoeic keratosis",t01000,72750,p1100,,,
"72750I-Seborrhoeic keratosis-I",,"Skin with a squamous lesion showing marked papillomatosis, hyperkeratosis, irregular acanthosis and parakeratosis. There is focal mild dysplasia. Dermal inflammation and fibrosis are noted. The features are those of an irritated seborrhoeic keratosis with focal mild dysplasia. No malignancy is seen. The lesion is incompletely excised. ","Skin: Excision - Seborrhoeic keratosis with dysplasia",t01000,72750,p1100,,,
"72750J--Seborrhoeic keratosis-",,"Skin with a squamous lesion showing marked papillomatosis, hyperkeratosis, irregular acanthosis and parakeratosis. There is focal mild dysplasia. Dermal inflammation and fibrosis are noted. The features are those of an irritated seborrhoeic keratosis with focal moderate dysplasia. No malignancy is seen. The lesion is incompletely excised. ",,t01000,72750,p1100,,,
"72750K--Seborrhoeic keratosis-",,"Skin with a squamous lesion showing marked papillomatosis, hyperkeratosis, irregular acanthosis and parakeratosis. There is focal mild dysplasia. Dermal inflammation and fibrosis are noted. The features are those of an irritated seborrhoeic keratosis with focal severe dysplasia. No malignancy is seen. The lesion is incompletely excised. ",ex,t01000,72750,p1100,,,
"76620A-Part viral wart, very s",,"Superficial fragments of epidermis with no underlying dermis. There is hypergranulosis and acanthosis suggestive of a viral wart, however, the base of the lesion is not visible and so a reliable diagnosis can not be made. Focal mild dysplasia is seen and the biopsy is too superficial to assess for invasion. ","Skin: Excision - Viral wart",t01000,76620,p1100,,,
"76620B-Part viral wart (long)",,"Skin with compact hyperkeratosis, tiers of parakeratosis, papillomatosis and hypergranulosis. Epidermal hyperplasia is marked with bulbous down growths of the epidermis. The lesion is incompletely excised. There is no evidence of dysplasia or malignancy. 

The features are those of a squamous cell papilloma of viral aetiology. ","Skin: Excision - Viral wart",t01000,76620,,,,
"76620C-Part viral wart (short)",,"Skin with part of a squamous cell papilloma of viral aeitology. There is no evidence of dysplasia or malignancy.","Skin: Excison - Squamous cell papilloma",t01000,76620,p1100,,,
"90613D-Ex viral wart",,"Sections show a completely excised squamous cell papilloma of viral aetiology. There is no evidence of dysplasia or malignancy. ","Skin: Excison - Squamous cell papilloma",t01000,76620,p1100,,,
"72850A-Mild AK",,"Skin with a mild actinic keratosis. No invasive malignancy is seen. ","Skin: Excision - Actinic keratosis",t01000,72850,,,,
"72850B-Mild AK down adnexa",,"Skin with a mild actinic keratosis extending down adnexa. No invasive malignancy is seen. ","Skin: Excision - Actinic keratosis",t01000,72850,,,,
"72850C-Mod AK",,"Skin with a moderate actinic keratosis. No invasive malignancy is seen. ","Skin: Excision - Actinic keratosis",t01000,72850,,,,
"72850D-Mod AK down adnexa",,"Skin with a moderate actinic keratosis  extending down adnexa. No invasive malignancy is seen. ","Skin: Excision - Actinic keratosis",t01000,72850,,,,
"72850E- part bowenoid AK super",,"Skin with part of a bowenoid actinic keratosis. The biopsy is too superficial to assess for invasion. ","Skin: Excision - Actinic keratosis",t01000,72850,,,,
"72850F- part bowenoid AK no in",,"Skin with part of an inflamed Bowenoid actinic keratosis. There is background solar elastosis. No invasive malignancy is seen. ","Skin: Excision - Actinic keratosis",t01000,72850,,,,
"72850G- part bowenoid AK down ",,"Skin with part of an inflamed Bowenoid actinic keratosis extending down adnexa. There is background solar elastosis. No invasive malignancy is seen. ","Skin: Excision - Actinic keratosis",t01000,72850,,,,
"72850H- proliferative bowenoid",,"Skin with part of a proliferartive Bowenoid actinic keratosis. There is background solar elastosis. No invasive malignancy is seen. ","Skin: Excision - Actinic keratosis",t01000,72850,,,,
"72850I- Bowenoid AK suspicious",,"Skin with a hyperkeratotic Bowenoid actinic keratosis with a foci highly suspicious for early invasive squamous cell carcinoma, however, the biopsy is too superficial to be certain.? No lympho-vascular invasion is seen. 

This case should be listed for the Local Skin MDT.  ","Skin: Excision - Actinic keratosis",t01000,72850,,,,
"72850J- Bowenoid AK suspicious",,"Skin with a hyperkeratotic Bowenoid actinic keratosis with a foci highly suspicious for early invasive squamous cell carcinoma. No lympho-vascular invasion is seen. 

This case should be listed for the Local Skin MDT.  ","Skin: Excision - Actinic keratosis",t01000,72850,,,,
"72850K-Ex bowenoid AK",,"Skin with a bowenoid actinic keratosis. There is no evidence of malignancy. The lesion is completely excised and lies X mm from the peripheral margin. ","Skin: Excision - Actinic keratosis",t01000,72850,,,,
"72850L-Ex cutaneous horn mild ",,"Skin with a cutaneous horn underlying which is a completely excised mild actinic keratosis. There is no evidence of invasive malignancy.","Skin: Excision - Actinic keratosis",t01000,80812,,,,
"80812A-Part bowens",,"Skin with part of Bowens disease (squamous cell carcinoma in situ). No invasive malignancy is seen. ","Skin: Excision - Bowens disease",t01000,80812,,,,
