Code,Description,Type
T01000,Skin,t1
TY4100,Abdomen,t1
TY4300,Abdominal Wall,t1
TX8500,Acoustic Nerve,t1
T61300,Adenoid,t1
T1X010,Adipose Tissue,t1
T93000,Adrenal Gland,t1
T58700,Ampulla of Vater,t1
TY1701,Anal Region,t1
T12750,Ankle,t1
T69000,Anus,t1
T42000,Aorta,t1
T39000,Aortic Valve,t1
T66000,Appendix,t1
T04200,Areola,t1
TY8020,Arm Left,t1
TY8010,Arm Right,t1
T41000,Artery,t1
T12020,Articular Capsule,t1
T12010,Articular Cartilage,t1
TXY200,Auditory Canal,t1
TX9611,Autonomic Ganglion,t1
TY8100,Axilla,t1
T04280,Axillary Tail Of Breast,t1
TY1100,Back,t1
T80500,Bartholin's Gland,t1
T5Y300,Bile Duct Cytologic Material,t1
T58000,Bile Duct Extra Hepatic,t1
T56110,Bile Duct Intrahepatic,t1
T74000,Bladder Urinary,t1
T40000,Blood Vessel,t1
T59200,Body Of Pancreas,t1
T1X500,Bone,t1
T06000,Bone Marrow,t1
T65000,Bowel Small Nos,t1
TX2000,Brain,t1
TX2050,Brain Stem,t1
T04000,Breast,t1
T04030,Breast Female Left,t1
T04020,Breast Female Right,t1
T86300,Broad Ligament,t1
T2Y412,Bronchial Brushing Material,t1
T2Y416,Bronchiolo-Alveolar Lavage,t1
T2Y414,Bronchial Washing Material,t1
T27000,Bronchiole,t1
T26000,Bronchus,t1
T64320,Brunner's Gland,t1
T16000,Bursa,t1
TY1600,Buttock,t1
T67100,Caecum,t1
T35000,Cardiac Valve,t1
T30000,Cardiovascular System NOS,t1
T45010,Carotid Artery,t1
T1X700,Cartilage,t1
TX1880,Central Canal Of Spinal Cord,t1
TX6000,Cerebellum,t1
TX2020,Cerebral Cortex,t1
TX2060,Cerebral Hemisphere,t1
TX2080,Cerebral Hemisphere Left,t1
TX2070,Cerebral Hemisphere Right,t1
TX5110,Cerebral Peduncle,t1
TX1000,Cerebrospinal Fluid,t1
TX1010,Cerebrospinal Fluid Cytologic Material,t1
T8X310,Cervical Cytologic Material,t1
T83700,Cervical Stump,t1
T83000,Cervix Uterine,t1
TY2150,Chest Wall,t1
T88220,Chorionic Villi,t1
T11310,Clavicle,t1
T80400,Clitoris,t1
T10830,Coccyx,t1
T67000,Colon,t1
T67200,Colon Ascending,t1
T67600,Colon Descending,t1
T67300,Colon Hepatic Flexure,t1
T67995,Colon Left,t1
T67965,Colon Right,t1
T67700,Colon Sigmoid,t1
T67500,Colon Splenic Flexure,t1
T67400,Colon Transverse,t1
T6X810,Colonic Cytologic Material,t1
T67950,Colostomy,t1
T24470,Commissure Of Larynx,t1
T58500,Common Bile Duct,t1
T45100,Common Carotid Artery,t1
TXX860,Conjunctiva,t1
TXX200,Cornea,t1
T3000,Coronary Artery,t1
T2700,Corpus Callosum,t1
T2100,Corpus Uteri,t1
T8205,Decidua,t1
T1200,Dermis,t1
T2400,Diaphragm,t1
TX510,Duodenal Cytologic Material,t1
T4300,Duodenum,t1
TY100,Ear External,t1
T1330,Eccrine Gland,t1
T8300,Elbow,t1
T4000,Endocardium,t1
TX320,Endocervical Cytologic Material,t1
T3300,Endocervix,t1
TX430,Endometrial Cytologic Material,t1
T4000,Endometrium,t1
T1100,Epidermis,t1
T9100,Epididymis,t1
T9000,Epididymis Vas And Scrotum NOS,t1
T4200,Epigastric Region,t1
T4010,Epiglottis,t1
T3100,Exocervix,t1
TX000,Eye,t1
TX810,Eyelid,t1
T0200,Face,t1
T8140,Facial Nerve,t1
T6000,Fallopian Tube And Broad Ligament NOS,t1
T8600,Fascia,t1
T47400,Femoral Artery,t1
T11710,Femur,t1
T88200,Fetal Membranes,t1
T89001,Fetal Parts,t1
TY8800,Finger,t1
